"leagueid","name","country"
1,"World Cup","World"
2,"UEFA Champions League","World"
3,"UEFA Europa League","World"
4,"Euro Championship","World"
5,"UEFA Nations League","World"
6,"Africa Cup of Nations","World"
7,"Asian Cup","World"
8,"World Cup - Women","World"
9,"Copa America","World"
10,"Friendlies","World"
11,"CONMEBOL Sudamericana","World"
12,"CAF Champions League","World"
13,"CONMEBOL Libertadores","World"
14,"UEFA Youth League","World"
15,"FIFA Intercontinental Cup","World"
16,"CONCACAF Champions League","World"
17,"AFC Champions League","World"
18,"AFC Cup","World"
19,"African Nations Championship","World"
20,"CAF Confederation Cup","World"
21,"Confederations Cup","World"
22,"CONCACAF Gold Cup","World"
23,"EAFF E-1 Football Championship","World"
24,"AFF Championship","World"
25,"Gulf Cup of Nations","World"
26,"International Champions Cup","World"
27,"OFC Champions League","World"
28,"SAFF Championship","World"
29,"World Cup - Qualification Africa","World"
30,"World Cup - Qualification Asia","World"
31,"World Cup - Qualification CONCACAF","World"
32,"World Cup - Qualification Europe","World"
33,"World Cup - Qualification Oceania","World"
34,"World Cup - Qualification South America","World"
35,"Asian Cup - Qualification","World"
36,"Africa Cup of Nations - Qualification","World"
37,"World Cup - Qualification Intercontinental Play-offs","World"
38,"Bundesliga","Austria"
39,"Premier League","England"
40,"First Division A","Belgium"
41,"First Division A Qualification","Belgium"
42,"League Two","England"
43,"National League","England"
44,"FA WSL","England"
45,"FA Cup","England"
46,"Superligaen","Denmark"
47,"Premier League","England"
48,"Championship","England"
49,"National League - Play-offs","England"
50,"National League - North","England"
51,"Veikkausliiga","Finland"
52,"Finland Promotion/Relegation","Finland"
53,"Ligue 1","France"
54,"Bundesliga","Germany"
55,"Serie A","Italy"
56,"Non League Div One - Southern South","England"
57,"Eredivisie","Netherlands"
58,"Eredivisie Qualification","Netherlands"
59,"Eliteserien","Norway"
60,"Eliteserien Qualification","Norway"
61,"Liga Portugal","Portugal"
62,"Ligue 2","France"
63,"Premier League","Russia"
64,"Premiership","Scotland"
65,"Coupe de la Ligue","France"
66,"Coupe de France","France"
67,"Allsvenskan","Sweden"
68,"Allsvenskan Qualification","Sweden"
69,"Super League","Switzerland"
70,"Super League Qualification","Switzerland"
71,"Süper Lig","Turkiye"
72,"Serie B","Brazil"
73,"Copa Do Brasil","Brazil"
74,"Brasileiro Women","Brazil"
75,"Serie C","Brazil"
76,"Serie D","Brazil"
77,"Alagoano","Brazil"
78,"Bundesliga","Germany"
79,"2. Bundesliga","Germany"
80,"3. Liga","Germany"
81,"DFB Pokal","Germany"
82,"Frauen Bundesliga","Germany"
83,"Regionalliga - Bayern","Germany"
84,"Regionalliga - Nord","Germany"
85,"1. Division","Denmark"
86,"Serie B","Italy"
87,"LaLiga","Spain"
88,"Eredivisie","Netherlands"
89,"Eerste Divisie","Netherlands"
90,"KNVB Beker","Netherlands"
91,"Eredivisie Women","Netherlands"
92,"Derde Divisie - Saturday","Netherlands"
93,"Derde Divisie - Sunday","Netherlands"
94,"Primeira Liga","Portugal"
95,"Segunda Liga","Portugal"
96,"Taça de Portugal","Portugal"
97,"Taça da Liga","Portugal"
98,"J1 League","Japan"
99,"J2 League","Japan"
100,"J3 League","Japan"
101,"J-League Cup","Japan"
102,"Emperor Cup","Japan"
103,"Eliteserien","Norway"
104,"1. Division","Norway"
105,"NM Cupen","Norway"
106,"Ekstraklasa","Poland"
107,"I Liga","Poland"
108,"League One","England"
109,"League Two","England"
110,"Ligue 2","France"
111,"Eerste Divisie","Netherlands"
112,"Liga Profesional","Argentina"
113,"A-League","Australia"
114,"Superettan","Sweden"
115,"Svenska Cupen","Sweden"
116,"Premier League","Wales"
117,"National League","England"
118,"Premier League","Armenia"
119,"2. Liga","Austria"
120,"Super League","China"
121,"Primera Division","Costa Rica"
122,"1. Liga","Czechia"
123,"Championship","Scotland"
124,"League One","Scotland"
125,"League Two","Scotland"
126,"Premier Division","Ireland"
127,"Ligat HaAl","Israel"
128,"Leumit League","Israel"
129,"Premiership","Northern Ireland"
130,"MLS","United States"
131,"Primera Division","Peru"
132,"FA Cup","England"
133,"EFL Cup","England"
134,"Coupe de France","France"
135,"Super League 1","Greece"
136,"1. Division","Cyprus"
137,"Scottish Cup","Scotland"
138,"Copa del Rey","Spain"
139,"Super Cup","Spain"
140,"LaLiga2","Spain"
141,"Coppa Italia","Italy"
142,"EFL Trophy","England"
143,"Suomen Cup","Finland"
144,"Primera Division","Bolivia"
145,"Greece Cup","Greece"
146,"2. Bundesliga","Germany"
147,"Serie C","Italy"
148,"Second Amateur Division - ACFF","Belgium"
149,"Belgian Cup","Belgium"
150,"Second Amateur Division - VFV B","Belgium"
151,"Turkish Cup","Turkiye"
152,"Third Amateur Division - VFV B","Belgium"
153,"Provincial - Antwerpen","Belgium"
154,"Provincial - Brabant VFV","Belgium"
155,"Provincial - Hainaut","Belgium"
156,"Provincial - Liege","Belgium"
157,"Provincial - Limburg","Belgium"
158,"Provincial - Luxembourg","Belgium"
159,"Provincial - Namur","Belgium"
160,"Provincial - Oost-Vlaanderen","Belgium"
161,"Primera Division","Uruguay"
162,"Primera División","Costa-Rica"
