"seasonid","leagueid","seasonyear","startdate","enddate"
1,10175,2024,"2024-08-01","2025-05-31"
2,260,2024,"2024-08-01","2025-05-31"
3,9173,2024,"2024-08-01","2025-05-31"
4,516,2024,"2024-08-01","2025-05-31"
5,112,2024,"2024-08-01","2025-05-31"
6,8965,2024,"2024-08-01","2025-05-31"
7,9213,2024,"2024-08-01","2025-05-31"
8,9305,2024,"2024-08-01","2025-05-31"
9,9381,2024,"2024-08-01","2025-05-31"
10,9170,2024,"2024-08-01","2025-05-31"
11,10007,2024,"2024-08-01","2025-05-31"
12,10075,2024,"2024-08-01","2025-05-31"
13,10053,2024,"2024-08-01","2025-05-31"
14,118,2024,"2024-08-01","2025-05-31"
15,113,2024,"2024-08-01","2025-05-31"
16,9495,2024,"2024-08-01","2025-05-31"
17,9471,2024,"2024-08-01","2025-05-31"
18,38,2024,"2024-08-01","2025-05-31"
19,119,2024,"2024-08-01","2025-05-31"
20,278,2024,"2024-08-01","2025-05-31"
21,262,2024,"2024-08-01","2025-05-31"
22,10443,2024,"2024-08-01","2025-05-31"
23,263,2024,"2024-08-01","2025-05-31"
24,9255,2024,"2024-08-01","2025-05-31"
25,9521,2024,"2024-08-01","2025-05-31"
26,9658,2024,"2024-08-01","2025-05-31"
27,40,2024,"2024-08-01","2025-05-31"
28,264,2024,"2024-08-01","2025-05-31"
29,149,2024,"2024-08-01","2025-05-31"
30,41,2024,"2024-08-01","2025-05-31"
31,266,2024,"2024-08-01","2025-05-31"
32,144,2024,"2024-08-01","2025-05-31"
33,9334,2024,"2024-08-01","2025-05-31"
34,267,2024,"2024-08-01","2025-05-31"
35,268,2024,"2024-08-01","2025-05-31"
36,8814,2024,"2024-08-01","2025-05-31"
37,8971,2024,"2024-08-01","2025-05-31"
38,9067,2024,"2024-08-01","2025-05-31"
39,9429,2024,"2024-08-01","2025-05-31"
40,10077,2024,"2024-08-01","2025-05-31"
41,10290,2024,"2024-08-01","2025-05-31"
42,10272,2024,"2024-08-01","2025-05-31"
43,10274,2024,"2024-08-01","2025-05-31"
44,10291,2024,"2024-08-01","2025-05-31"
45,10273,2024,"2024-08-01","2025-05-31"
46,10244,2024,"2024-08-01","2025-05-31"
47,10078,2024,"2024-08-01","2025-05-31"
48,270,2024,"2024-08-01","2025-05-31"
49,271,2024,"2024-08-01","2025-05-31"
50,9584,2024,"2024-08-01","2025-05-31"
51,9096,2024,"2024-08-01","2025-05-31"
52,272,2024,"2024-08-01","2025-05-31"
53,9986,2024,"2024-08-01","2025-05-31"
54,9837,2024,"2024-08-01","2025-05-31"
55,273,2024,"2024-08-01","2025-05-31"
56,9091,2024,"2024-08-01","2025-05-31"
57,9126,2024,"2024-08-01","2025-05-31"
58,9761,2024,"2024-08-01","2025-05-31"
59,9407,2024,"2024-08-01","2025-05-31"
60,120,2024,"2024-08-01","2025-05-31"
61,9137,2024,"2024-08-01","2025-05-31"
62,9550,2024,"2024-08-01","2025-05-31"
63,9491,2024,"2024-08-01","2025-05-31"
64,10183,2024,"2024-08-01","2025-05-31"
65,9490,2024,"2024-08-01","2025-05-31"
66,274,2024,"2024-08-01","2025-05-31"
67,9125,2024,"2024-08-01","2025-05-31"
68,121,2024,"2024-08-01","2025-05-31"
69,10223,2024,"2024-08-01","2025-05-31"
70,252,2024,"2024-08-01","2025-05-31"
71,275,2024,"2024-08-01","2025-05-31"
72,276,2024,"2024-08-01","2025-05-31"
73,136,2024,"2024-08-01","2025-05-31"
74,9100,2024,"2024-08-01","2025-05-31"
75,330,2024,"2024-08-01","2025-05-31"
76,521,2024,"2024-08-01","2025-05-31"
77,122,2024,"2024-08-01","2025-05-31"
78,10025,2024,"2024-08-01","2025-05-31"
79,254,2024,"2024-08-01","2025-05-31"
80,253,2024,"2024-08-01","2025-05-31"
81,46,2024,"2024-08-01","2025-05-31"
82,85,2024,"2024-08-01","2025-05-31"
83,239,2024,"2024-08-01","2025-05-31"
84,240,2024,"2024-08-01","2025-05-31"
85,241,2024,"2024-08-01","2025-05-31"
86,242,2024,"2024-08-01","2025-05-31"
87,256,2024,"2024-08-01","2025-05-31"
88,10046,2024,"2024-08-01","2025-05-31"
89,246,2024,"2024-08-01","2025-05-31"
90,519,2024,"2024-08-01","2025-05-31"
91,9941,2024,"2024-08-01","2025-05-31"
92,10270,2024,"2024-08-01","2025-05-31"
93,10314,2024,"2024-08-01","2025-05-31"
94,335,2024,"2024-08-01","2025-05-31"
95,47,2024,"2024-08-01","2025-05-31"
96,48,2024,"2024-08-01","2025-05-31"
97,108,2024,"2024-08-01","2025-05-31"
98,109,2024,"2024-08-01","2025-05-31"
99,117,2024,"2024-08-01","2025-05-31"
100,8944,2024,"2024-08-01","2025-05-31"
101,8947,2024,"2024-08-01","2025-05-31"
102,9084,2024,"2024-08-01","2025-05-31"
103,10176,2024,"2024-08-01","2025-05-31"
104,247,2024,"2024-08-01","2025-05-31"
105,132,2024,"2024-08-01","2025-05-31"
106,133,2024,"2024-08-01","2025-05-31"
107,10626,2024,"2024-08-01","2025-05-31"
108,142,2024,"2024-08-01","2025-05-31"
109,9253,2024,"2024-08-01","2025-05-31"
110,10068,2024,"2024-08-01","2025-05-31"
111,9227,2024,"2024-08-01","2025-05-31"
112,10082,2024,"2024-08-01","2025-05-31"
113,9717,2024,"2024-08-01","2025-05-31"
114,9294,2024,"2024-08-01","2025-05-31"
115,10705,2024,"2024-08-01","2025-05-31"
116,248,2024,"2024-08-01","2025-05-31"
117,10034,2024,"2024-08-01","2025-05-31"
118,9069,2024,"2024-08-01","2025-05-31"
119,9523,2024,"2024-08-01","2025-05-31"
120,250,2024,"2024-08-01","2025-05-31"
121,51,2024,"2024-08-01","2025-05-31"
122,52,2024,"2024-08-01","2025-05-31"
123,251,2024,"2024-08-01","2025-05-31"
124,143,2024,"2024-08-01","2025-05-31"
125,8969,2024,"2024-08-01","2025-05-31"
126,10174,2024,"2024-08-01","2025-05-31"
127,10186,2024,"2024-08-01","2025-05-31"
128,342,2024,"2024-08-01","2025-05-31"
129,10713,2024,"2024-08-01","2025-05-31"
130,53,2024,"2024-08-01","2025-05-31"
131,110,2024,"2024-08-01","2025-05-31"
132,8970,2024,"2024-08-01","2025-05-31"
133,134,2024,"2024-08-01","2025-05-31"
134,9677,2024,"2024-08-01","2025-05-31"
135,9666,2024,"2024-08-01","2025-05-31"
136,9667,2024,"2024-08-01","2025-05-31"
137,207,2024,"2024-08-01","2025-05-31"
138,439,2024,"2024-08-01","2025-05-31"
139,9310,2024,"2024-08-01","2025-05-31"
140,54,2024,"2024-08-01","2025-05-31"
141,146,2024,"2024-08-01","2025-05-31"
142,208,2024,"2024-08-01","2025-05-31"
143,209,2024,"2024-08-01","2025-05-31"
144,512,2024,"2024-08-01","2025-05-31"
145,9081,2024,"2024-08-01","2025-05-31"
146,9734,2024,"2024-08-01","2025-05-31"
147,10022,2024,"2024-08-01","2025-05-31"
148,8924,2024,"2024-08-01","2025-05-31"
149,9676,2024,"2024-08-01","2025-05-31"
150,10650,2024,"2024-08-01","2025-05-31"
151,522,2024,"2024-08-01","2025-05-31"
152,135,2024,"2024-08-01","2025-05-31"
153,145,2024,"2024-08-01","2025-05-31"
154,8815,2024,"2024-08-01","2025-05-31"
155,10019,2024,"2024-08-01","2025-05-31"
156,336,2024,"2024-08-01","2025-05-31"
157,337,2024,"2024-08-01","2025-05-31"
158,212,2024,"2024-08-01","2025-05-31"
159,213,2024,"2024-08-01","2025-05-31"
160,215,2024,"2024-08-01","2025-05-31"
161,216,2024,"2024-08-01","2025-05-31"
162,217,2024,"2024-08-01","2025-05-31"
163,10009,2024,"2024-08-01","2025-05-31"
164,10226,2024,"2024-08-01","2025-05-31"
165,10076,2024,"2024-08-01","2025-05-31"
166,9478,2024,"2024-08-01","2025-05-31"
167,10309,2024,"2024-08-01","2025-05-31"
168,8982,2024,"2024-08-01","2025-05-31"
169,10366,2024,"2024-08-01","2025-05-31"
170,8983,2024,"2024-08-01","2025-05-31"
171,523,2024,"2024-08-01","2025-05-31"
172,9372,2024,"2024-08-01","2025-05-31"
173,9487,2024,"2024-08-01","2025-05-31"
174,10288,2024,"2024-08-01","2025-05-31"
175,524,2024,"2024-08-01","2025-05-31"
176,10310,2024,"2024-08-01","2025-05-31"
177,126,2024,"2024-08-01","2025-05-31"
178,221,2024,"2024-08-01","2025-05-31"
179,218,2024,"2024-08-01","2025-05-31"
180,219,2024,"2024-08-01","2025-05-31"
181,10307,2024,"2024-08-01","2025-05-31"
182,9431,2024,"2024-08-01","2025-05-31"
183,10210,2024,"2024-08-01","2025-05-31"
184,127,2024,"2024-08-01","2025-05-31"
185,128,2024,"2024-08-01","2025-05-31"
186,9735,2024,"2024-08-01","2025-05-31"
187,9097,2024,"2024-08-01","2025-05-31"
188,9862,2024,"2024-08-01","2025-05-31"
189,9098,2024,"2024-08-01","2025-05-31"
190,55,2024,"2024-08-01","2025-05-31"
191,86,2024,"2024-08-01","2025-05-31"
192,141,2024,"2024-08-01","2025-05-31"
193,147,2024,"2024-08-01","2025-05-31"
194,222,2024,"2024-08-01","2025-05-31"
195,10178,2024,"2024-08-01","2025-05-31"
196,10434,2024,"2024-08-01","2025-05-31"
197,223,2024,"2024-08-01","2025-05-31"
198,8974,2024,"2024-08-01","2025-05-31"
199,9136,2024,"2024-08-01","2025-05-31"
200,9915,2024,"2024-08-01","2025-05-31"
201,9011,2024,"2024-08-01","2025-05-31"
202,224,2024,"2024-08-01","2025-05-31"
203,440,2024,"2024-08-01","2025-05-31"
204,225,2024,"2024-08-01","2025-05-31"
205,9504,2024,"2024-08-01","2025-05-31"
206,529,2024,"2024-08-01","2025-05-31"
207,226,2024,"2024-08-01","2025-05-31"
208,9486,2024,"2024-08-01","2025-05-31"
209,228,2024,"2024-08-01","2025-05-31"
210,9632,2024,"2024-08-01","2025-05-31"
211,9493,2024,"2024-08-01","2025-05-31"
212,229,2024,"2024-08-01","2025-05-31"
213,9527,2024,"2024-08-01","2025-05-31"
214,9174,2024,"2024-08-01","2025-05-31"
215,249,2024,"2024-08-01","2025-05-31"
