"statid","matchid","possessionhome","possessionaway","shotsontargethome","shotsontargetaway","shotsofftargethome","shotsofftargetaway","cornershome","cornersaway","foulshome","foulsaway"
1,852230,0,0,0,0,0,0,0,0,0,0
2,852232,0,0,0,0,0,0,0,0,0,0
3,852236,0,0,0,0,0,0,0,0,0,0
4,852237,0,0,0,0,0,0,0,0,0,0
5,859116,0,0,0,0,0,0,0,0,0,0
6,859117,0,0,0,0,0,0,0,0,0,0
7,859118,0,0,0,0,0,0,0,0,0,0
8,859128,0,0,0,0,0,0,0,0,0,0
9,859129,0,0,0,0,0,0,0,0,0,0
10,859132,0,0,0,0,0,0,0,0,0,0
11,859133,0,0,0,0,0,0,0,0,0,0
12,859135,0,0,0,0,0,0,0,0,0,0
13,859138,0,0,0,0,0,0,0,0,0,0
14,859140,0,0,0,0,0,0,0,0,0,0
15,859154,0,0,0,0,0,0,0,0,0,0
16,859156,0,0,0,0,0,0,0,0,0,0
17,859158,0,0,0,0,0,0,0,0,0,0
18,859160,0,0,0,0,0,0,0,0,0,0
19,859168,0,0,0,0,0,0,0,0,0,0
20,859172,0,0,0,0,0,0,0,0,0,0
21,859177,0,0,0,0,0,0,0,0,0,0
22,859181,0,0,0,0,0,0,0,0,0,0
23,859188,0,0,0,0,0,0,0,0,0,0
24,859194,0,0,0,0,0,0,0,0,0,0
25,859203,0,0,0,0,0,0,0,0,0,0
26,859215,0,0,0,0,0,0,0,0,0,0
27,859219,0,0,0,0,0,0,0,0,0,0
28,859226,0,0,0,0,0,0,0,0,0,0
29,859232,0,0,0,0,0,0,0,0,0,0
30,859238,0,0,0,0,0,0,0,0,0,0
31,859239,0,0,0,0,0,0,0,0,0,0
32,859248,0,0,0,0,0,0,0,0,0,0
33,859250,0,0,0,0,0,0,0,0,0,0
34,859258,0,0,0,0,0,0,0,0,0,0
35,967780,0,0,0,0,0,0,0,0,0,0
36,967788,0,0,0,0,0,0,0,0,0,0
37,967798,0,0,0,0,0,0,0,0,0,0
38,970831,0,0,0,0,0,0,0,0,0,0
39,971350,0,0,0,0,0,0,0,0,0,0
40,971357,0,0,0,0,0,0,0,0,0,0
41,971368,0,0,0,0,0,0,0,0,0,0
42,971370,0,0,0,0,0,0,0,0,0,0
43,971372,0,0,0,0,0,0,0,0,0,0
44,971382,0,0,0,0,0,0,0,0,0,0
45,971391,0,0,0,0,0,0,0,0,0,0
46,971393,0,0,0,0,0,0,0,0,0,0
47,971403,0,0,0,0,0,0,0,0,0,0
48,971405,0,0,0,0,0,0,0,0,0,0
49,971419,0,0,0,0,0,0,0,0,0,0
50,971424,0,0,0,0,0,0,0,0,0,0
51,971425,0,0,0,0,0,0,0,0,0,0
52,971432,0,0,0,0,0,0,0,0,0,0
53,971443,0,0,0,0,0,0,0,0,0,0
54,971449,0,0,0,0,0,0,0,0,0,0
55,971468,0,0,0,0,0,0,0,0,0,0
56,971487,0,0,0,0,0,0,0,0,0,0
57,971504,0,0,0,0,0,0,0,0,0,0
58,971509,0,0,0,0,0,0,0,0,0,0
59,971521,0,0,0,0,0,0,0,0,0,0
60,971526,0,0,0,0,0,0,0,0,0,0
61,971534,0,0,0,0,0,0,0,0,0,0
62,971537,0,0,0,0,0,0,0,0,0,0
63,971546,0,0,0,0,0,0,0,0,0,0
64,971561,0,0,0,0,0,0,0,0,0,0
65,971565,0,0,0,0,0,0,0,0,0,0
66,971566,0,0,0,0,0,0,0,0,0,0
67,971593,0,0,0,0,0,0,0,0,0,0
68,971596,0,0,0,0,0,0,0,0,0,0
69,971607,0,0,0,0,0,0,0,0,0,0
70,971609,0,0,0,0,0,0,0,0,0,0
71,971620,0,0,0,0,0,0,0,0,0,0
72,971627,0,0,0,0,0,0,0,0,0,0
73,971634,0,0,0,0,0,0,0,0,0,0
74,971637,0,0,0,0,0,0,0,0,0,0
75,971649,0,0,0,0,0,0,0,0,0,0
76,971655,0,0,0,0,0,0,0,0,0,0
77,971662,0,0,0,0,0,0,0,0,0,0
78,971665,0,0,0,0,0,0,0,0,0,0
79,972935,0,0,0,0,0,0,0,0,0,0
80,972938,0,0,0,0,0,0,0,0,0,0
81,972944,0,0,0,0,0,0,0,0,0,0
82,973486,0,0,0,0,0,0,0,0,0,0
83,973488,0,0,0,0,0,0,0,0,0,0
84,973512,0,0,0,0,0,0,0,0,0,0
85,973523,0,0,0,0,0,0,0,0,0,0
86,973537,0,0,0,0,0,0,0,0,0,0
87,973743,0,0,0,0,0,0,0,0,0,0
88,973744,0,0,0,0,0,0,0,0,0,0
89,973745,0,0,0,0,0,0,0,0,0,0
90,973751,0,0,0,0,0,0,0,0,0,0
91,973757,0,0,0,0,0,0,0,0,0,0
92,973760,0,0,0,0,0,0,0,0,0,0
93,973769,0,0,0,0,0,0,0,0,0,0
94,973770,0,0,0,0,0,0,0,0,0,0
95,973771,0,0,0,0,0,0,0,0,0,0
96,973772,0,0,0,0,0,0,0,0,0,0
97,973775,0,0,0,0,0,0,0,0,0,0
98,973776,0,0,0,0,0,0,0,0,0,0
99,973780,0,0,0,0,0,0,0,0,0,0
100,973782,0,0,0,0,0,0,0,0,0,0
101,973786,0,0,0,0,0,0,0,0,0,0
102,973788,0,0,0,0,0,0,0,0,0,0
103,973789,0,0,0,0,0,0,0,0,0,0
104,973793,0,0,0,0,0,0,0,0,0,0
105,973794,0,0,0,0,0,0,0,0,0,0
106,973796,0,0,0,0,0,0,0,0,0,0
107,973798,0,0,0,0,0,0,0,0,0,0
108,973800,0,0,0,0,0,0,0,0,0,0
109,973801,0,0,0,0,0,0,0,0,0,0
110,973804,0,0,0,0,0,0,0,0,0,0
111,973806,0,0,0,0,0,0,0,0,0,0
112,973807,0,0,0,0,0,0,0,0,0,0
113,973808,0,0,0,0,0,0,0,0,0,0
114,973810,0,0,0,0,0,0,0,0,0,0
115,973812,0,0,0,0,0,0,0,0,0,0
116,973813,0,0,0,0,0,0,0,0,0,0
117,973816,0,0,0,0,0,0,0,0,0,0
118,973817,0,0,0,0,0,0,0,0,0,0
119,973819,0,0,0,0,0,0,0,0,0,0
120,973820,0,0,0,0,0,0,0,0,0,0
