"teamleagueid","teamid","leagueid","seasonid"
1,33,2,379
2,34,2,379
3,42,2,379
4,50,2,379
5,81,2,379
6,85,2,379
7,116,2,379
8,157,2,379
9,165,2,379
10,173,2,379
11,182,2,379
12,197,2,379
13,209,2,379
14,211,2,379
15,212,2,379
16,217,2,379
17,247,2,379
18,257,2,379
19,276,2,379
20,329,2,379
21,354,2,379
22,367,2,379
23,388,2,379
24,400,2,379
25,487,2,379
26,489,2,379
27,492,2,379
28,505,2,379
29,529,2,379
30,530,2,379
31,536,2,379
32,541,2,379
33,548,2,379
34,550,2,379
35,556,2,379
36,562,2,379
37,565,2,379
38,566,2,379
39,568,2,379
40,571,2,379
41,575,2,379
42,579,2,379
43,586,2,379
44,588,2,379
45,598,2,379
46,617,2,379
47,620,2,379
48,628,2,379
49,637,2,379
50,645,2,379
51,649,2,379
52,651,2,379
53,652,2,379
54,656,2,379
55,667,2,379
56,677,2,379
57,687,2,379
58,700,2,379
59,701,2,379
60,708,2,379
61,740,2,379
62,742,2,379
63,2184,2,379
64,2262,2,379
65,2276,2,379
66,2596,2,379
67,2646,2,379
68,3345,2,379
69,3408,2,379
70,3491,2,379
71,3623,2,379
72,4153,2,379
73,4195,2,379
74,4346,2,379
75,4626,2,379
76,5354,2,379
77,11907,2,379
78,12733,2,379
79,40,3,380
80,48,3,380
81,51,3,380
82,81,3,380
83,94,3,380
84,96,3,380
85,116,3,380
86,160,3,380
87,168,3,380
88,194,3,380
89,209,3,380
90,211,3,380
91,217,3,380
92,228,3,380
93,252,3,380
94,257,3,380
95,276,3,380
96,329,3,380
97,367,3,380
98,388,3,380
99,489,3,380
100,497,3,380
101,499,3,380
102,533,3,380
103,543,3,380
104,550,3,380
105,553,3,380
106,556,3,380
107,560,3,380
108,562,3,380
109,565,3,380
110,566,3,380
111,568,3,380
112,575,3,380
113,586,3,380
114,588,3,380
115,599,3,380
116,606,3,380
117,617,3,380
118,620,3,380
119,628,3,380
120,637,3,380
121,645,3,380
122,649,3,380
123,656,3,380
124,677,3,380
125,701,3,380
126,742,3,380
127,1026,3,380
128,1393,3,380
129,2184,3,380
130,2646,3,380
131,2656,3,380
132,3408,3,380
133,3491,3,380
134,3623,3,380
135,4195,3,380
136,79,61,383
137,80,61,383
138,81,61,383
139,82,61,383
140,83,61,383
141,84,61,383
142,85,61,383
143,91,61,383
144,93,61,383
145,94,61,383
146,95,61,383
147,96,61,383
148,97,61,383
149,99,61,383
150,106,61,383
151,111,61,383
152,112,61,383
153,116,61,383
154,1063,61,383
155,259,144,384
156,260,144,384
157,261,144,384
158,266,144,384
159,554,144,384
